English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword-billed Hummingbird,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ensifera,ensifera,12,15,,,9,15,12.75,1700,2500,500,3000,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Sapphirewing,Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus,Pterophanes cyanopterus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Pterophanes,cyanopterus,8.4000000000000004,11,9.5999999999999996,11.199999999999999,,,10.05,,2600,1100,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-tailed Coronet,Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens,Boissonneaua flavescens,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Boissonneaua,flavescens,8,,,,7.2999999999999998,8.8000000000000007,8.03,,2000,1500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-breasted Coronet,Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii,Boissonneaua matthewsii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Boissonneaua,matthewsii,7,,8.3000000000000007,,6.6500000000000004,7.7000000000000002,7.41,,1500,1800,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velvet-purple Coronet,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Boissonneaua,jardini,,,,,7.7999999999999998,11,9.40,350,800,1400,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booted Racket-tail,Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii,Ocreatus underwoodii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ocreatus,underwoodii,2.7000000000000002,3.1000000000000001,2.5,2.7000000000000002,3,,2.80,600,1600,600,2200,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peruvian Racket-tail,Ocreatus peruanus,,Ocreatus peruanus,Ocreatus peruanus,Ocreatus peruanus,Caprimulgiformes,Trochilidae,Trochilidae,,Trochilidae,Ocreatus,peruanus,,,,,3,,3.00,,1000,1400,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-booted Racket-tail,Ocreatus addae,,Ocreatus addae,Ocreatus addae,Ocreatus addae,Caprimulgiformes,Trochilidae,Trochilidae,,Trochilidae,Ocreatus,addae,,,,,3,,3.00,400,1000,1300,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-gaped Hillstar,Urochroa bougueri,Urochroa bougueri,Urochroa bougueri,Urochroa bougueri,Urochroa bougueri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Urochroa,bougueri,,,,,8.6999999999999993,14,11.35,1600,1800,1000,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tailed Hillstar,Urochroa leucura,Urochroa leucura,Urochroa leucura,Urochroa leucura,Urochroa leucura,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Urochroa,leucura,7.2000000000000002,,9.1999999999999993,,8.6999999999999993,14,9.77,,800,2000,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-bibbed Whitetip,Urosticte benjamini,Urosticte benjamini,Urosticte benjamini,Urosticte benjamini,Urosticte benjamini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Urosticte,benjamini,,,,,3.5,4.5,4.00,,700,900,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-vented Whitetip,Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa,Urosticte ruficrissa,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Urosticte,ruficrissa,,,,,4,4.2999999999999998,4.15,,1600,800,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velvet-browed Brilliant,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Heliodoxa xanthogonys,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,xanthogonys,6,7,6,9,5.5,7.5,6.83,500,700,1300,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink-throated Brilliant,Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis,Heliodoxa gularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,gularis,6.7999999999999998,,6.5,,6.2999999999999998,,6.53,,250,800,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-webbed Brilliant,Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii,Heliodoxa branickii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,branickii,4.7000000000000002,6.2000000000000002,5,6.5999999999999996,5.2000000000000002,,5.54,,650,1050,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Brilliant,Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii,Heliodoxa schreibersii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,schreibersii,7.0999999999999996,8.5,9.9000000000000004,,,,8.50,,400,600,1000,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gould's Brilliant,Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens,Heliodoxa aurescens,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,aurescens,,6.0999999999999996,,5.4000000000000004,6,6.4000000000000004,5.97,,0,1000,1000,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fawn-breasted Brilliant,Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides,Heliodoxa rubinoides,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,rubinoides,7,8,6,8.0999999999999996,7.7400000000000002,,7.37,1000,1100,1500,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-crowned Brilliant,Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula,Heliodoxa jacula,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,jacula,5.5999999999999996,8.1999999999999993,8.1999999999999993,9.5,5.9000000000000004,8.4000000000000004,7.63,100,300,1900,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empress Brilliant,Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix,Heliodoxa imperatrix,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,imperatrix,8.3000000000000007,,9.3000000000000007,,7.2000000000000002,10.4,8.80,,400,1600,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet-fronted Brilliant,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Heliodoxa leadbeateri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliodoxa,leadbeateri,6.5999999999999996,7.5,7.0999999999999996,8.5,6,7.4000000000000004,7.18,,400,2000,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian Ruby,Clytolaema rubricauda,Clytolaema rubricauda,Heliodoxa rubricauda,Heliodoxa rubricauda,Heliodoxa rubricauda,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Clytolaema,rubricauda,5.9000000000000004,7.0999999999999996,7,9.1999999999999993,7.9000000000000004,,7.42,,0,500,500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Hummingbird,Patagona gigas,Patagona gigas,Patagona gigas,Patagona gigas,Patagona gigas,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Patagona,gigas,17.5,18.5,19.5,,20.199999999999999,,18.93,,0,4800,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet-chested Hummingbird,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Sternoclyta cyanopectus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Sternoclyta,cyanopectus,4,10.300000000000001,7,9.4000000000000004,6.2000000000000002,10,7.82,0,700,1300,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scissor-tailed Hummingbird,Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca,Hylonympha macrocerca,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Hylonympha,macrocerca,6.5,8,7,7.5,,,7.25,,500,700,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnificent Hummingbird,Eugenes fulgens,Eugenes fulgens,Eugenes fulgens,Eugenes fulgens,Eugenes fulgens,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eugenes,fulgens,6.4000000000000004,8.0999999999999996,6.8099999999999996,9.5500000000000007,7.5,8.5,7.81,,900,2100,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talamanca Hummingbird,Eugenes spectabilis,Eugenes spectabilis,Eugenes spectabilis,Eugenes spectabilis,Eugenes spectabilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eugenes,spectabilis,7.5,9.5,8.3000000000000007,10.800000000000001,,,9.03,,1600,2250,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery-throated Hummingbird,Panterpe insignis,Panterpe insignis,Panterpe insignis,Panterpe insignis,Panterpe insignis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Panterpe,insignis,4.9000000000000004,6.5,5.5,7,4.5999999999999996,8.0999999999999996,6.10,560,1400,1800,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Starthroat,Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris,Heliomaster longirostris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliomaster,longirostris,6.5,,5.5,7.0999999999999996,6.5999999999999996,7,6.54,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain-capped Starthroat,Heliomaster constantii,Heliomaster constantii,Heliomaster constantii,Heliomaster constantii,Heliomaster constantii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliomaster,constantii,6.7999999999999998,7.2000000000000002,6.5,9,,,7.38,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stripe-breasted Starthroat,Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus,Heliomaster squamosus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliomaster,squamosus,,,,,5,6.5,5.75,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-tufted Starthroat,Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer,Heliomaster furcifer,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliomaster,furcifer,,,,,4.9000000000000004,6.5,5.70,,0,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bellied Mountain-gem,Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus,Lampornis hemileucus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,hemileucus,5.0999999999999996,,6.2000000000000002,,5.5,,5.60,400,700,700,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-throated Mountain-gem,Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae,Lampornis clemenciae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,clemenciae,5.5999999999999996,7,7.5999999999999996,8.8000000000000007,,,7.25,300,980,2520,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amethyst-throated Mountain-gem,Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus,Lampornis amethystinus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,amethystinus,5,5.7999999999999998,5,7.7999999999999998,3,7,5.60,,900,2100,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-throated Mountain-gem,Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens,Lampornis viridipallens,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,viridipallens,3.2999999999999998,7,3,9,5.4000000000000004,,5.54,,900,1800,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-breasted Mountain-gem,Lampornis sybillae,Lampornis sybillae,Lampornis sybillae,Lampornis sybillae,Lampornis sybillae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,sybillae,3.8999999999999999,7,5,8,,,5.97,750,1400,800,2200,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-throated Mountain-gem,Lampornis calolaemus,Lampornis calolaemus,Lampornis calolaemus,Lampornis calolaemus,Lampornis calolaemus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,calolaemus,4.2000000000000002,5.5999999999999996,5.5999999999999996,7.0999999999999996,,,5.62,300,800,1700,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey-tailed Mountain-gem,Lampornis cinereicauda,Lampornis cinereicauda,Lampornis cinereicauda,,,Caprimulgiformes,Trochilidae,,Trochilidae,,Lampornis,cinereicauda,4.7000000000000002,5.0999999999999996,5.7000000000000002,6.2000000000000002,,,5.42,,1250,1900,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-throated Mountain-gem,Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris,Lampornis castaneoventris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lampornis,castaneoventris,4.7000000000000002,5.5999999999999996,6.2999999999999998,,5.5999999999999996,5.7000000000000002,5.58,,1000,2350,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garnet-throated Hummingbird,Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami,Lamprolaima rhami,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lamprolaima,rhami,,,,,5.5999999999999996,9.5,7.55,1200,1500,800,2300,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amethyst Woodstar,Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina,Calliphlox amethystina,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Calliphlox,amethystina,,,,,2.2999999999999998,3.5,2.90,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-collared Woodstar,Myrtis fanny,Myrtis fanny,Myrtis fanny,Myrtis fanny,Myrtis fanny,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Myrtis,fanny,,,,,2.2999999999999998,2.5,2.40,L,1000,1000,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oasis Hummingbird,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Rhodopis,vesper,3,5,4,4.5999999999999996,3.7999999999999998,,4.08,,0,3800,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-tailed Woodstar,Myrmia micrura,Myrmia micrura,Myrmia micrura,Myrmia micrura,Myrmia micrura,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Myrmia,micrura,2.2000000000000002,2.3999999999999999,,,1.8,2.3999999999999999,2.20,,0,200,200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peruvian Sheartail,Thaumastura cora,Thaumastura cora,Thaumastura cora,Thaumastura cora,Thaumastura cora,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Thaumastura,cora,2.6000000000000001,,2.2999999999999998,2.7999999999999998,1.8999999999999999,,2.40,,0,2800,2800,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magenta-throated Woodstar,Philodice bryantae,Philodice bryantae,Philodice bryantae,Philodice bryantae,Philodice bryantae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Philodice,bryantae,3.5,,3.2999999999999998,,,,3.40,,700,1150,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-throated Woodstar,Philodice mitchellii,Philodice mitchellii,Philodice mitchellii,Philodice mitchellii,Philodice mitchellii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Philodice,mitchellii,,,,,3,3.2999999999999998,3.15,0,1000,1400,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilean Woodstar,Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii,Eulidia yarrellii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eulidia,yarrellii,2.2999999999999998,,2,2.7999999999999998,2,2.7999999999999998,2.38,,200,1640,1840,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slender-tailed Woodstar,Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri,Microstilbon burmeisteri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Microstilbon,burmeisteri,1.98,2.5600000000000001,1.8,2.02,,,2.09,,1100,1900,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bellied Woodstar,Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant,Chaetocercus mulsant,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,mulsant,,,,,3.7999999999999998,4,3.90,1500,2200,600,2800,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Woodstar,Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus,Chaetocercus bombus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,bombus,,,,,6.5,,6.50,,0,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgeted Woodstar,Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor,Chaetocercus heliodor,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,heliodor,,,1.8,2.1000000000000001,2,3,2.23,,1200,1800,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Marta Woodstar,Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans,Chaetocercus astreans,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,astreans,,,,,2,3.21,2.60,,825,1175,2000,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmeraldas Woodstar,Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi,Chaetocercus berlepschi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,berlepschi,,,,,2,3.0099999999999998,2.50,,0,750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-shafted Woodstar,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chaetocercus,jourdanii,,,,,3.2599999999999998,,3.26,,900,1600,2500,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling-tailed Woodstar,Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii,Tilmatura dupontii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Tilmatura,dupontii,,,,,2.2000000000000002,,2.20,,750,1750,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slender Sheartail,Doricha enicura,Doricha enicura,Doricha enicura,Doricha enicura,Doricha enicura,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Doricha,enicura,2.6000000000000001,,2.2999999999999998,,2.3999999999999999,,2.43,,1000,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Sheartail,Doricha eliza,Doricha eliza,Doricha eliza,Doricha eliza,Doricha eliza,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Doricha,eliza,2.5,2.7000000000000002,2.2999999999999998,,,,2.50,,0,1390,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
