English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Wedge-billed Hummingbird,Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi,Schistes geoffroyi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Schistes,geoffroyi,,,,,3.5,4.0999999999999996,3.80,475,900,1900,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyacinth Visorbearer,Augastes scutatus,Augastes scutatus,Augastes scutatus,Augastes scutatus,Augastes scutatus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Augastes,scutatus,2.7000000000000002,3.7999999999999998,3,4,3,,3.30,900,1000,1000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hooded Visorbearer,Augastes lumachella,Augastes lumachella,Augastes lumachella,Augastes lumachella,Augastes lumachella,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Augastes,lumachella,,,,,4,4.7999999999999998,4.40,,900,1100,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Violetear,Colibri delphinae,Colibri delphinae,Colibri delphinae,Colibri delphinae,Colibri delphinae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Colibri,delphinae,6.0999999999999996,,5.5,8,5.5,5.9000000000000004,6.20,,100,2700,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Violetear,Colibri thalassinus,Colibri thalassinus,Colibri thalassinus,Colibri thalassinus,Colibri thalassinus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Colibri,thalassinus,4.7999999999999998,,5.0999999999999996,5.4699999999999998,5,,5.09,,1000,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Violetear,Colibri cyanotus,,Colibri cyanotus,Colibri cyanotus,Colibri cyanotus,Caprimulgiformes,Trochilidae,Trochilidae,,Trochilidae,Colibri,cyanotus,4,4.7999999999999998,4.9000000000000004,5.5,4,6,4.87,500,600,2400,3000,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling Violetear,Colibri coruscans,Colibri coruscans,Colibri coruscans,Colibri coruscans,Colibri coruscans,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Colibri,coruscans,6,7.5,5.7999999999999998,8.5,3.7999999999999998,8.5,6.68,200,1700,2800,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-vented Violetear,Colibri serrirostris,Colibri serrirostris,Colibri serrirostris,Colibri serrirostris,Colibri serrirostris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Colibri,serrirostris,,,,,5.5999999999999996,6.7999999999999998,6.20,0,1000,500,1500,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooth-billed Hummingbird,Androdon aequatorialis,Androdon aequatorialis,Androdon aequatorialis,Androdon aequatorialis,Androdon aequatorialis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Androdon,aequatorialis,5.5,7,9,,5.5,9.0999999999999996,7.22,,0,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Sungem,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliactin,bilophus,,,,,1.8,2.7999999999999998,2.30,,0,500,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
