"arbol_id","modelo_ganador","aic_browniano","aic_ou","intercepto","estimado","error_estandar","ic_inferior","ic_superior","valor_p"
"tree_0730","OU (corMartins)",-97.0959116785392,-157.641123755362,1.55599403619603,0.0709907539450155,0.0109553064383142,0.0495187478863198,0.0924627600037111,4.59747141734809e-10
"tree_8084","OU (corMartins)",-117.630662782331,-173.899084268652,1.65463025689529,0.0280651787294931,0.00956246748911632,0.00932308684748991,0.0468072706114962,0.00363565311101496
"tree_4663","OU (corMartins)",-106.264847422798,-161.223566808006,1.64720465981824,0.0242424854454005,0.0103676311513104,0.00392230178383655,0.0445626691069644,0.0201338433503503
"tree_1300","OU (corMartins)",-98.2867219404245,-159.5314201232,1.63051281227219,0.0312447618677168,0.0099997028422197,0.0116457044408633,0.0508438192945702,0.0019832247767047
"tree_9817","OU (corMartins)",-165.995150203771,-201.751723733245,1.58751106730121,0.0603704902078029,0.00925333441244781,0.0422342880225001,0.0785066923931057,3.57208183479719e-10
"tree_5564","OU (corMartins)",-123.317822427283,-174.73775504187,1.67742823853328,0.0134382817072995,0.00806457787158914,-0.00236800047153395,0.0292445638861329,0.096855743848064
"tree_7598","OU (corMartins)",-173.41310656526,-211.847069705718,1.63721680557624,0.0321886684739376,0.00930804936647932,0.0139452269493173,0.0504321099985579,0.000635674694258985
"tree_1363","OU (corMartins)",-172.067275960048,-204.328839378788,1.62544756039555,0.0424124564655463,0.00991807169693427,0.0229733931434691,0.0618515197876236,2.67477583507911e-05
"tree_0197","OU (corMartins)",-130.581437959922,-182.05251722263,1.62617088717092,0.0413137895309977,0.00923881473849854,0.0232060453837027,0.0594215336782927,1.16159540139478e-05
"tree_8583","OU (corMartins)",-134.056217149145,-186.274069514365,1.61596681131338,0.0429079439621472,0.00977686233965877,0.02374564589461,0.0620702420296844,1.6613751809869e-05
"tree_7794","OU (corMartins)",-60.6647850833368,-145.912006885089,1.54501618418614,0.0684863523505803,0.0107384364388075,0.0474394036802451,0.0895333010209156,8.21521275762246e-10
